COMMODITY,COUNTRY,UNIT,QUANTITY,VALUE (US$ million)
TEA,AFGHANISTAN,KGS,2158857,4.03
TEA,ALBANIA,KGS,81420,0.27
TEA,ALGERIA,KGS,108036,0.19
TEA,ANGOLA,KGS,182855,0.82
TEA,ARGENTINA,KGS,120,0.00
TEA,ARMENIA,KGS,6833,0.03
TEA,ARUBA,KGS,19,0.00
TEA,AUSTRALIA,KGS,3161548,15.05
TEA,AUSTRIA,KGS,3353,0.06
TEA,AZERBAIJAN,KGS,360446,0.94
TEA,BAHARAIN IS,KGS,482184,2.01
TEA,BANGLADESH PR,KGS,2056435,4.06
TEA,BARBADOS,KGS,70,0.00
TEA,BELARUS,KGS,8232,0.02
TEA,BELGIUM,KGS,1563722,4.33
TEA,BELIZE,KGS,1990,0.01
TEA,BENIN,KGS,44728,0.29
TEA,BHUTAN,KGS,391769,1.19
TEA,BOTSWANA,KGS,1249,0.01
TEA,BRAZIL,KGS,13201,0.11
TEA,BRUNEI,KGS,9330,0.03
TEA,BULGARIA,KGS,11821,0.04
TEA,BURKINA FASO,KGS,627205,2.82
TEA,CAMBODIA,KGS,6182,0.02
TEA,CAMEROON,KGS,9971,0.13
TEA,CANADA,KGS,2645289,13.10
TEA,CAYMAN IS,KGS,140,0.00
TEA,CHILE,KGS,62733,0.14
TEA,CHINA P RP,KGS,12270705,27.43
TEA,COLOMBIA,KGS,127000,0.20
TEA,CONGO D. REP.,KGS,18492,0.09
TEA,CONGO P REP,KGS,34614,0.16
TEA,COTE D' IVOIRE,KGS,347290,1.93
TEA,CROATIA,KGS,27679,0.07
TEA,CUBA,KGS,8000,0.03
TEA,CYPRUS,KGS,3925,0.02
TEA,CZECH REPUBLIC,KGS,31465,0.34
TEA,DENMARK,KGS,107714,0.88
TEA,DJIBOUTI,KGS,10,0.00
TEA,DOMINIC REP,KGS,16,0.00
TEA,EGYPT A RP,KGS,3517084,6.66
TEA,EL SALVADOR,KGS,14,0.00
TEA,ESTONIA,KGS,1339,0.03
TEA,FIJI IS,KGS,6129,0.05
TEA,FINLAND,KGS,1101510,3.15
TEA,FRANCE,KGS,336729,2.87
TEA,GABON,KGS,200,0.00
TEA,GAMBIA,KGS,175696,0.48
TEA,GEORGIA,KGS,351520,0.93
TEA,GERMANY,KGS,10149069,37.63
TEA,GHANA,KGS,699585,3.91
TEA,GREECE,KGS,35553,0.15
TEA,GRENADA,KGS,15,0.00
TEA,GUATEMALA,KGS,27,0.00
TEA,GUINEA,KGS,293168,0.98
TEA,GUYANA,KGS,62,0.00
TEA,HONG KONG,KGS,242825,0.98
TEA,HUNGARY,KGS,1604,0.01
TEA,INDONESIA,KGS,1013536,1.73
TEA,IRAN,KGS,49472865,198.13
TEA,IRAQ,KGS,5342772,9.92
TEA,IRELAND,KGS,1619899,12.72
TEA,ISRAEL,KGS,101669,0.34
TEA,ITALY,KGS,1397647,10.73
TEA,JAMAICA,KGS,1092,0.01
TEA,JAPAN,KGS,5349928,27.78
TEA,JORDAN,KGS,76008,0.35
TEA,KAZAKHSTAN,KGS,9350119,23.60
TEA,KENYA,KGS,569827,1.30
TEA,KIRIBATI REP,KGS,2927,0.02
TEA,KOREA RP,KGS,146733,1.77
TEA,KUWAIT,KGS,964086,4.08
TEA,KYRGHYZSTAN,KGS,251090,0.96
TEA,LATVIA,KGS,35039,0.14
TEA,LEBANON,KGS,58066,0.25
TEA,LIBERIA,KGS,8848,0.04
TEA,LIBYA,KGS,39360,0.11
TEA,LITHUANIA,KGS,20314,0.09
TEA,MACEDONIA,KGS,9600,0.03
TEA,MADAGASCAR,KGS,2288,0.02
TEA,MALAWI,KGS,2049,0.01
TEA,MALAYSIA,KGS,3170761,5.09
TEA,MALDIVES,KGS,22830,0.13
TEA,MALI,KGS,65772,0.41
TEA,MALTA,KGS,50,0.00
TEA,MAURITANIA,KGS,690,0.00
TEA,MAURITIUS,KGS,26746,0.15
TEA,MEXICO,KGS,63852,0.83
TEA,MOLDOVA,KGS,1926,0.01
TEA,MONGOLIA,KGS,7675,0.05
TEA,MONTSERRAT,KGS,9,0.00
TEA,MOROCCO,KGS,89086,0.25
TEA,MOZAMBIQUE,KGS,3034,0.02
TEA,MYANMAR,KGS,391849,3.20
TEA,NAMIBIA,KGS,58,0.00
TEA,NEPAL,KGS,304373,0.89
TEA,NETHERLAND,KGS,3150882,19.91
TEA,NETHERLANDANTIL,KGS,3261,0.02
TEA,NEW CALEDONIA,KGS,29,0.00
TEA,NEW ZEALAND,KGS,349552,1.76
TEA,NIGER,KGS,534187,2.46
TEA,NIGERIA,KGS,457437,1.67
TEA,NORWAY,KGS,36230,0.29
TEA,OMAN,KGS,523678,2.10
TEA,PAKISTAN IR,KGS,3572905,5.46
TEA,PANAMA REPUBLIC,KGS,3100,0.01
TEA,PAPUA N GNA,KGS,100,0.00
TEA,PHILIPPINES,KGS,272904,2.00
TEA,POLAND,KGS,6212540,16.27
TEA,PORTUGAL,KGS,42613,0.12
TEA,QATAR,KGS,1719937,6.79
TEA,REUNION,KGS,2587,0.02
TEA,ROMANIA,KGS,9136,0.03
TEA,RUSSIA,KGS,45241770,101.96
TEA,RWANDA,KGS,78,0.00
TEA,SAO TOME,KGS,6981,0.02
TEA,SAUDI ARAB,KGS,5713077,22.58
TEA,SENEGAL,KGS,365900,1.70
TEA,SERBIA,KGS,15036,0.12
TEA,SEYCHELLES,KGS,7994,0.05
TEA,SIERRA LEONE,KGS,260773,0.81
TEA,SINGAPORE,KGS,718175,2.67
TEA,SLOVAK REP,KGS,157,0.01
TEA,SLOVENIA,KGS,4723,0.06
TEA,SOMALIA,KGS,12973,0.04
TEA,SOUTH AFRICA,KGS,121272,0.64
TEA,SOUTH SUDAN,KGS,5848,0.02
TEA,SPAIN,KGS,1415049,2.11
TEA,SRI LANKA DSR,KGS,1930233,4.61
TEA,ST LUCIA,KGS,170,0.00
TEA,SUDAN,KGS,41041,0.09
TEA,SURINAME,KGS,37873,0.16
TEA,SWAZILAND,KGS,122,0.01
TEA,SWEDEN,KGS,190094,1.18
TEA,SWITZERLAND,KGS,426473,1.16
TEA,SYRIA,KGS,97920,0.20
TEA,TAIWAN,KGS,4218300,9.60
TEA,TAJIKISTAN,KGS,513637,1.28
TEA,TANZANIA REP,KGS,6324,0.03
TEA,THAILAND,KGS,176245,1.57
TEA,TOGO,KGS,174398,0.96
TEA,TRINIDAD,KGS,8109,0.04
TEA,TUNISIA,KGS,4317888,6.43
TEA,TURKEY,KGS,2463552,5.87
TEA,TURKMENISTAN,KGS,145035,0.29
TEA,U ARAB EMTS,KGS,14101584,43.63
TEA,U K,KGS,12569430,41.89
TEA,U S A,KGS,14503527,62.99
TEA,UGANDA,KGS,5361,0.01
TEA,UKRAINE,KGS,3672352,7.76
TEA,UNSPECIFIED,KGS,835,0.01
TEA,UZBEKISTAN,KGS,363592,0.68
TEA,VENEZUELA,KGS,300,0.00
TEA,VIETNAM SOC REP,KGS,100123,0.36
TEA,YEMEN REPUBLC,KGS,62685,0.14
TEA,ZAMBIA,KGS,19322,0.08
COFFEE,AFGHANISTAN,KGS,7435,0.04
COFFEE,ALBANIA,KGS,1873990,3.79
COFFEE,ALGERIA,KGS,45120,0.13
COFFEE,ANGOLA,KGS,2100,0.03
COFFEE,ARMENIA,KGS,134444,0.59
COFFEE,AUSTRALIA,KGS,5605061,15.33
COFFEE,AUSTRIA,KGS,600,0.00
COFFEE,AZERBAIJAN,KGS,2300,0.02
COFFEE,BAHARAIN IS,KGS,62562,0.20
COFFEE,BANGLADESH PR,KGS,599415,4.63
COFFEE,BELARUS,KGS,179202,0.72
COFFEE,BELGIUM,KGS,19464054,46.92
COFFEE,BENIN,KGS,246869,1.64
COFFEE,BHUTAN,KGS,42015,0.52
COFFEE,BOTSWANA,KGS,10411,0.05
COFFEE,BRUNEI,KGS,3375,0.01
COFFEE,BULGARIA,KGS,315867,1.27
COFFEE,BURKINA FASO,KGS,120366,0.96
COFFEE,C AFRI REP,KGS,9864,0.08
COFFEE,CAMBODIA,KGS,46,0.00
COFFEE,CAMEROON,KGS,203537,1.50
COFFEE,CANADA,KGS,1122870,2.44
COFFEE,CAPE VERDE IS,KGS,19000,0.03
COFFEE,CAYMAN IS,KGS,40,0.00
COFFEE,CHAD,KGS,22697,0.16
COFFEE,CHINA P RP,KGS,404143,1.83
COFFEE,COMOROS,KGS,3106,0.03
COFFEE,CONGO D. REP.,KGS,24053,0.23
COFFEE,CONGO P REP,KGS,209717,1.57
COFFEE,COTE D' IVOIRE,KGS,207560,1.30
COFFEE,CROATIA,KGS,3824592,6.79
COFFEE,CZECH REPUBLIC,KGS,4000,0.02
COFFEE,DENMARK,KGS,714184,1.09
COFFEE,EGYPT A RP,KGS,3518316,7.48
COFFEE,EL SALVADOR,KGS,51884,0.29
COFFEE,ESTONIA,KGS,49526,0.22
